V1  080000001234567890122025112700000000000000ov-manual-1202511270001   0000010   788TND000000002697157                                                                                                                                                                                    
V2  0800000012345678901205030000082500283975AIR LIQUIDE TUNISIE ACTIFS    000000000000000ov-manual-12025112700010000001000HIKMA MEDECEFov-manual-1 du 27112025 OV GM n ov-manual-1                                                                                                            000000000171569      
V2  0800000012345678901205700000019501579144AIR LIQUIDE TUNISIE ACTIFS    000000000000000ov-manual-12025112700010000002000HIKMA MEDECEFov-manual-1 du 27112025 OV GM n ov-manual-1                                                                                                            000000000226068      
V2  0800000012345678901220000000000000010000Nom4 Prenom4                  000000000000000ov-manual-12025112700010000003000HIKMA MEDECEFov-manual-1 du 27112025 OV GM n ov-manual-1                                                                                                            000000000293777      
V2  0800000012345678901205005000021501529744AIR LIQUIDE TUNISIE ACTIFS    000000000000000ov-manual-12025112700010000004000HIKMA MEDECEFov-manual-1 du 27112025 OV GM n ov-manual-1                                                                                                            000000000122040      
V2  0800000012345678901220000000000000030000Nom7 Prenom7                  000000000000000ov-manual-12025112700010000005000HIKMA MEDECEFov-manual-1 du 27112025 OV GM n ov-manual-1                                                                                                            000000000266036      
V2  0800000012345678901205602000073500092671AIR LIQUIDE TUNISIE ACTIFS    000000000000000ov-manual-12025112700010000006000HIKMA MEDECEFov-manual-1 du 27112025 OV GM n ov-manual-1                                                                                                            000000000358511      
V2  0800000012345678901207038005010550355289AIR LIQUIDE TUNISIE ACTIFS    000000000000000ov-manual-12025112700010000007000HIKMA MEDECEFov-manual-1 du 27112025 OV GM n ov-manual-1                                                                                                            000000000273612      
V2  0800000012345678901205005000021501105466AIR LIQUIDE TUNISIE ACTIFS    000000000000000ov-manual-12025112700010000008000HIKMA MEDECEFov-manual-1 du 27112025 OV GM n ov-manual-1                                                                                                            000000000165844      
V2  0800000012345678901205061000129500057785AIR LIQUIDE TUNISIE ACTIFS    000000000000000ov-manual-12025112700010000009000HIKMA MEDECEFov-manual-1 du 27112025 OV GM n ov-manual-1                                                                                                            000000000388273      
V2  0800000012345678901205009000028501431065AIR LIQUIDE TUNISIE ACTIFS    000000000000000ov-manual-12025112700010000010000HIKMA MEDECEFov-manual-1 du 27112025 OV GM n ov-manual-1                                                                                                            000000000431427      
