V1  123045678932165498702025121000000000000000VIR-20251210-0008202512100001   0000010   788TND000000003529940                                                                                                                                                                                    
V2  1230456789321654987005203000072501142352AIR LIQUIDE TUNISIE ACTIFS    000000000000000VIR-20251210-00082025121000010000001000HIKMA MEDECEFVIR-20251210-0008 du 10122025 OV GM n VIR-20251210-0008                                                                                                000000000397379      
V2  1230456789321654987005005000021501529744AIR LIQUIDE TUNISIE ACTIFS    000000000000000VIR-20251210-00082025121000010000002000HIKMA MEDECEFVIR-20251210-0008 du 10122025 OV GM n VIR-20251210-0008                                                                                                000000000486319      
V2  1230456789321654987005203000072700793863AIR LIQUIDE TUNISIE ACTIFS    000000000000000VIR-20251210-00082025121000010000003000HIKMA MEDECEFVIR-20251210-0008 du 10122025 OV GM n VIR-20251210-0008                                                                                                000000000402886      
V2  1230456789321654987005030000082502497224AIR LIQUIDE TUNISIE ACTIFS    000000000000000VIR-20251210-00082025121000010000004000HIKMA MEDECEFVIR-20251210-0008 du 10122025 OV GM n VIR-20251210-0008                                                                                                000000000333631      
V2  1230456789321654987005700000019501579144AIR LIQUIDE TUNISIE ACTIFS    000000000000000VIR-20251210-00082025121000010000005000HIKMA MEDECEFVIR-20251210-0008 du 10122025 OV GM n VIR-20251210-0008                                                                                                000000000246772      
V2  1230456789321654987005030000082502991536AIR LIQUIDE TUNISIE ACTIFS    000000000000000VIR-20251210-00082025121000010000006000HIKMA MEDECEFVIR-20251210-0008 du 10122025 OV GM n VIR-20251210-0008                                                                                                000000000315777      
V2  1230456789321654987005203000072577494059AIR LIQUIDE TUNISIE ACTIFS    000000000000000VIR-20251210-00082025121000010000007000HIKMA MEDECEFVIR-20251210-0008 du 10122025 OV GM n VIR-20251210-0008                                                                                                000000000502232      
V2  1230456789321654987005009000028502552482AIR LIQUIDE TUNISIE ACTIFS    000000000000000VIR-20251210-00082025121000010000008000HIKMA MEDECEFVIR-20251210-0008 du 10122025 OV GM n VIR-20251210-0008                                                                                                000000000382785      
V2  1230456789321654987005203000072575663184AIR LIQUIDE TUNISIE ACTIFS    000000000000000VIR-20251210-00082025121000010000009000HIKMA MEDECEFVIR-20251210-0008 du 10122025 OV GM n VIR-20251210-0008                                                                                                000000000222304      
V2  1230456789321654987005030000082501584163AIR LIQUIDE TUNISIE ACTIFS    000000000000000VIR-20251210-00082025121000010000010000HIKMA MEDECEFVIR-20251210-0008 du 10122025 OV GM n VIR-20251210-0008                                                                                                000000000239855      
