V1  080000001234567890122025120300000000000000VIR-20251203-0002202512030001   0000010   788TND000000003109357                                                                                                                                                                                    
V2  0800000012345678901205203000072575663184AIR LIQUIDE TUNISIE ACTIFS    000000000000000VIR-20251203-00022025120300010000001000HIKMA MEDECEFVIR-20251203-0002 du 03122025 OV GM n VIR-20251203-0002                                                                                                000000000388225      
V2  0800000012345678901205203000072501315982AIR LIQUIDE TUNISIE ACTIFS    000000000000000VIR-20251203-00022025120300010000002000HIKMA MEDECEFVIR-20251203-0002 du 03122025 OV GM n VIR-20251203-0002                                                                                                000000000316803      
V2  0800000012345678901220000000000000020000Nom4 Prenom4                  000000000000000VIR-20251203-00022025120300010000003000HIKMA MEDECEFVIR-20251203-0002 du 03122025 OV GM n VIR-20251203-0002                                                                                                000000000229843      
V2  0800000012345678901205030000082501842571AIR LIQUIDE TUNISIE ACTIFS    000000000000000VIR-20251203-00022025120300010000004000HIKMA MEDECEFVIR-20251203-0002 du 03122025 OV GM n VIR-20251203-0002                                                                                                000000000461028      
V2  0800000012345678901205203000072501281062AIR LIQUIDE TUNISIE ACTIFS    000000000000000VIR-20251203-00022025120300010000005000HIKMA MEDECEFVIR-20251203-0002 du 03122025 OV GM n VIR-20251203-0002                                                                                                000000000492461      
V2  0800000012345678901220000000000000030000Nom1 Prenom1                  000000000000000VIR-20251203-00022025120300010000006000HIKMA MEDECEFVIR-20251203-0002 du 03122025 OV GM n VIR-20251203-0002                                                                                                000000000207647      
V2  0800000012345678901205009000028502552482AIR LIQUIDE TUNISIE ACTIFS    000000000000000VIR-20251203-00022025120300010000007000HIKMA MEDECEFVIR-20251203-0002 du 03122025 OV GM n VIR-20251203-0002                                                                                                000000000409402      
V2  0800000012345678901205019000090500967272AIR LIQUIDE TUNISIE ACTIFS    000000000000000VIR-20251203-00022025120300010000008000HIKMA MEDECEFVIR-20251203-0002 du 03122025 OV GM n VIR-20251203-0002                                                                                                000000000051126      
V2  0800000012345678901205036000103500434020AIR LIQUIDE TUNISIE ACTIFS    000000000000000VIR-20251203-00022025120300010000009000HIKMA MEDECEFVIR-20251203-0002 du 03122025 OV GM n VIR-20251203-0002                                                                                                000000000143501      
V2  0800000012345678901217535940172090595515AIR LIQUIDE TUNISIE ACTIFS    000000000000000VIR-20251203-00022025120300010000010000HIKMA MEDECEFVIR-20251203-0002 du 03122025 OV GM n VIR-20251203-0002                                                                                                000000000409321      
