V1  080000001234567890122025120100000000000000ov_manual_2202512010001   0000010   788TND000000002894215                                                                                                                                                                                    
V2  0800000012345678901205030000082500283975AIR LIQUIDE TUNISIE ACTIFS    000000000000000ov_manual_22025120100010000001000HIKMA MEDECEFov_manual_2 du 01122025 OV GM n ov_manual_2                                                                                                            000000000222517      
V2  0800000012345678901205700000019501579144AIR LIQUIDE TUNISIE ACTIFS    000000000000000ov_manual_22025120100010000002000HIKMA MEDECEFov_manual_2 du 01122025 OV GM n ov_manual_2                                                                                                            000000000161606      
V2  0800000012345678901220000000000000010000Nom4 Prenom4                  000000000000000ov_manual_22025120100010000003000HIKMA MEDECEFov_manual_2 du 01122025 OV GM n ov_manual_2                                                                                                            000000000372323      
V2  0800000012345678901205005000021501529744AIR LIQUIDE TUNISIE ACTIFS    000000000000000ov_manual_22025120100010000004000HIKMA MEDECEFov_manual_2 du 01122025 OV GM n ov_manual_2                                                                                                            000000000194857      
V2  0800000012345678901220000000000000030000Nom7 Prenom7                  000000000000000ov_manual_22025120100010000005000HIKMA MEDECEFov_manual_2 du 01122025 OV GM n ov_manual_2                                                                                                            000000000324247      
V2  0800000012345678901205602000073500092671AIR LIQUIDE TUNISIE ACTIFS    000000000000000ov_manual_22025120100010000006000HIKMA MEDECEFov_manual_2 du 01122025 OV GM n ov_manual_2                                                                                                            000000000057053      
V2  0800000012345678901207038005010550355289AIR LIQUIDE TUNISIE ACTIFS    000000000000000ov_manual_22025120100010000007000HIKMA MEDECEFov_manual_2 du 01122025 OV GM n ov_manual_2                                                                                                            000000000508168      
V2  0800000012345678901205005000021501105466AIR LIQUIDE TUNISIE ACTIFS    000000000000000ov_manual_22025120100010000008000HIKMA MEDECEFov_manual_2 du 01122025 OV GM n ov_manual_2                                                                                                            000000000513178      
V2  0800000012345678901205061000129500057785AIR LIQUIDE TUNISIE ACTIFS    000000000000000ov_manual_22025120100010000009000HIKMA MEDECEFov_manual_2 du 01122025 OV GM n ov_manual_2                                                                                                            000000000056100      
V2  0800000012345678901205009000028501431065AIR LIQUIDE TUNISIE ACTIFS    000000000000000ov_manual_22025120100010000010000HIKMA MEDECEFov_manual_2 du 01122025 OV GM n ov_manual_2                                                                                                            000000000484166      
